id,attr_time,,attr_x,attr_y,attr_z
72,1.54718E+12,2018-01-11 14:52:06,-0.303482,2.71494,8.8369
73,1.54718E+12,2018-01-11 14:52:06,-0.257004,2.55374,9.1467
74,1.54718E+12,2018-01-11 14:52:06,-0.193909,2.45343,9.15602
75,1.54718E+12,2018-01-11 14:52:06,-0.142914,2.42659,8.91676
76,1.54718E+12,2018-01-11 14:52:06,-0.191071,2.5175,8.89662
77,1.54718E+12,2018-01-11 14:52:06,-0.253662,2.56659,8.84917
78,1.54718E+12,2018-01-11 14:52:06,-0.364044,2.62381,8.77292
79,1.54718E+12,2018-01-11 14:52:06,-0.367813,2.57555,8.93939
80,1.54718E+12,2018-01-11 14:52:06,-0.265503,2.50734,9.22647
81,1.54718E+12,2018-01-11 14:52:06,-0.0902405,2.50092,9.20326
82,1.54718E+12,2018-01-11 14:52:06,0.00994873,2.53378,8.80162
83,1.54718E+12,2018-01-11 14:52:06,-0.195816,2.6432,9.04906
84,1.54718E+12,2018-01-11 14:52:06,-0.248993,2.65398,9.04756
85,1.54718E+12,2018-01-11 14:52:06,-0.327652,2.59943,9.04254
86,1.54718E+12,2018-01-11 14:52:06,-0.193649,2.43095,9.08458
87,1.54718E+12,2018-01-11 14:52:06,-0.0262909,2.43306,8.74774
88,1.54718E+12,2018-01-11 14:52:06,-0.134232,2.48233,9.06415
89,1.54718E+12,2018-01-11 14:52:06,-0.238495,2.50649,9.24857
90,1.54718E+12,2018-01-11 14:52:06,-0.265823,2.60489,8.88025
91,1.54718E+12,2018-01-11 14:52:06,-0.234436,2.59032,8.89539
92,1.54718E+12,2018-01-11 14:52:06,-0.210693,2.52982,9.088
93,1.54718E+12,2018-01-11 14:52:06,-0.0725555,2.45731,9.08447
94,1.54718E+12,2018-01-11 14:52:06,-0.198349,2.55051,9.23021
95,1.54718E+12,2018-01-11 14:52:06,-0.158264,2.60689,8.90851
96,1.54718E+12,2018-01-11 14:52:06,-0.165588,2.66235,8.77916
97,1.54718E+12,2018-01-11 14:52:06,-0.135239,2.60832,8.95357
98,1.54718E+12,2018-01-11 14:52:06,-0.134079,2.59338,9.17076
99,1.54718E+12,2018-01-11 14:52:06,-0.151718,2.63286,9.12015
100,1.54718E+12,2018-01-11 14:52:06,-0.14476,2.65701,9.00975
101,1.54718E+12,2018-01-11 14:52:06,-0.17157,2.60609,8.9268
