id,attr_time,attr_x,attr_y,attr_z
133,1547182327055,-0.191544,2.64867,8.99129
134,1547182327071,-0.212402,2.67278,9.08052
135,1547182327089,-0.214462,2.74309,9.05179
136,1547182327117,-0.213196,2.71608,8.90894
137,1547182327133,-0.23671,2.65004,8.98779
138,1547182327148,-0.221893,2.57924,9.09001
139,1547182327164,-0.19751,2.57976,9.0333
140,1547182327196,-0.172379,2.70456,8.85094
141,1547182327213,-0.207321,2.74594,8.931
142,1547182327228,-0.244293,2.77003,8.94505
143,1547182327246,-0.196106,2.79414,8.87041
144,1547182327278,-0.161316,2.77457,8.87352
145,1547182327293,-0.203003,2.74272,8.94493
146,1547182327308,-0.15361,2.71982,8.97691
147,1547182327323,-0.239517,2.70222,8.99904
148,1547182327355,-0.29274,2.75468,8.99191
149,1547182327385,-0.204636,2.73897,8.89433
150,1547182327389,-0.18576,2.75232,8.81647
151,1547182327402,-0.191544,2.75812,8.9577
152,1547182327434,-0.161575,2.7473,8.89223
153,1547182327450,-0.237411,2.7681,8.79988
154,1547182327466,-0.287308,2.72983,8.90054
155,1547182327481,-0.229965,2.58598,9.2697
156,1547182327513,-0.154205,2.42018,9.38683
157,1547182327529,-0.228531,3.04877,8.59596
158,1547182327546,-0.176666,3.02243,8.46988
159,1547182327590,-0.233353,2.68289,9.38458
160,1547182327606,-0.263107,2.68002,9.22972
161,1547182327618,-0.114929,2.57507,8.87445
162,1547182327629,-0.130554,2.62906,8.92706
163,1547182327657,-0.193024,2.68297,9.0022
164,1547182327674,-0.229858,2.71341,8.95113
165,1547182327690,-0.279541,2.75034,8.80345
166,1547182327707,-0.238251,2.7254,8.9032
167,1547182327735,-0.112732,2.65793,8.99779
168,1547182327751,-0.110062,2.63832,8.97105
169,1547182327767,-0.182648,2.69878,9.05589
170,1547182327782,-0.210693,2.71982,9.06378
171,1547182327815,-0.218216,2.74478,8.93771
172,1547182327830,-0.145355,2.76938,8.77576
173,1547182327850,-0.145065,2.75812,8.77516
174,1547182327863,-0.135681,2.74055,8.89683
175,1547182327895,-0.160538,2.6888,8.99764
176,1547182327911,-0.217453,2.71982,9.05966
177,1547182327927,-0.262604,2.71982,9.01886
178,1547182327945,-0.193909,2.70123,8.92795
179,1547182327973,-0.193161,2.69626,9.01697
180,1547182327989,-0.106018,2.6815,8.96478
181,1547182328006,-0.162598,2.73882,8.8826
182,1547182328040,-0.191864,2.75812,8.79182
183,1547182328052,-0.232986,2.76282,8.8361
184,1547182328069,-0.258072,2.81558,8.95689
185,1547182328084,-0.158447,2.7552,8.94183
186,1547182328116,-0.0218048,2.70065,8.86989
187,1547182328132,-0.0531921,2.70651,8.95915
188,1547182328148,0.0216522,2.65483,8.91638
189,1547182328164,-0.11972,2.46268,8.90213
190,1547182328197,-0.30484,3.16492,9.1015
191,1547182328212,-0.254349,2.96754,9.37994
192,1547182328229,-0.1492,2.86043,9.28392
193,1547182328244,-0.0172882,2.76964,8.82999
194,1547182328275,0.00740051,2.71747,8.72899
195,1547182328297,-0.142181,2.71521,8.87354
196,1547182328308,-0.248993,2.78827,8.93242
197,1547182328327,-0.162613,2.85013,8.8392
